timestamp,current_speed_ms
2018-04-02T02:17:30Z,4.721
2018-04-02T02:32:30Z,4.72
2018-04-02T02:47:30Z,4.56
2018-04-02T03:02:30Z,4.718
2018-04-02T03:17:30Z,4.721
2018-04-02T03:32:30Z,4.658
2018-04-02T03:47:30Z,4.133
2018-04-02T04:02:30Z,4.157
2018-04-02T04:17:30Z,4.179
2018-04-02T04:32:30Z,3.485
2018-04-02T04:47:30Z,3.11
2018-04-02T05:02:30Z,2.68
2018-04-02T05:17:30Z,2.325
2018-04-02T05:32:30Z,1.786
2018-04-02T05:47:30Z,1.185
2018-04-02T06:02:30Z,0.633
2018-04-02T06:17:30Z,0.546
2018-04-02T06:32:30Z,2.057
2018-04-02T06:47:30Z,3.171
2018-04-02T07:02:30Z,2.681
2018-04-02T07:17:30Z,3.077
2018-04-02T07:32:30Z,3.125
2018-04-02T07:47:30Z,3.252
2018-04-02T08:02:30Z,3.415
2018-04-02T08:17:30Z,3.606
2018-04-02T08:32:30Z,3.484
2018-04-02T08:47:30Z,3.551
2018-04-02T09:02:30Z,3.493
2018-04-02T09:17:30Z,3.198
2018-04-02T09:32:30Z,3.129
2018-04-02T09:47:30Z,2.814
2018-04-02T10:02:30Z,2.71
2018-04-02T10:17:30Z,2.529
2018-04-02T10:32:30Z,2.319
2018-04-02T10:47:30Z,1.949
2018-04-02T11:02:30Z,1.706
2018-04-02T11:17:30Z,1.37
2018-04-02T11:32:30Z,0.982
2018-04-02T11:47:30Z,0.443
2018-04-02T12:02:30Z,0.326
2018-04-02T12:17:30Z,0.839
2018-04-02T12:32:30Z,1.403
2018-04-02T12:47:30Z,1.754
2018-04-02T13:02:30Z,2.291
2018-04-02T13:17:30Z,2.712
2018-04-02T13:32:30Z,3.293
2018-04-02T13:47:30Z,3.644
2018-04-02T14:02:30Z,4.186
2018-04-02T14:17:30Z,4.381
2018-04-02T14:32:30Z,4.336
2018-04-02T14:47:30Z,4.449
2018-04-02T15:02:30Z,4.603
2018-04-02T15:17:30Z,4.691
2018-04-02T15:32:30Z,4.776
2018-04-02T15:47:30Z,4.341
2018-04-02T16:02:30Z,4.013
2018-04-02T16:17:30Z,3.871
2018-04-02T16:32:30Z,3.964
2018-04-02T16:47:30Z,3.508
2018-04-02T17:02:30Z,3.188
2018-04-02T17:17:30Z,2.851
2018-04-02T17:32:30Z,2.354
2018-04-02T17:47:30Z,1.89
2018-04-02T18:02:30Z,1.351
2018-04-02T18:17:30Z,0.686
2018-04-02T18:32:30Z,0.409
2018-04-02T18:47:30Z,1.584
2018-04-02T19:02:30Z,2.727
2018-04-02T19:17:30Z,3.208
2018-04-02T19:32:30Z,2.635
2018-04-02T19:47:30Z,3.079
2018-04-02T20:02:30Z,3.265
2018-04-02T20:17:30Z,3.334
2018-04-02T20:32:30Z,3.433
2018-04-02T20:47:30Z,3.357
2018-04-02T21:02:30Z,3.466
2018-04-02T21:17:30Z,3.385
2018-04-02T21:32:30Z,3.139
2018-04-02T21:47:30Z,3.123
2018-04-02T22:02:30Z,2.934
2018-04-02T22:17:30Z,2.735
2018-04-02T22:32:30Z,2.543
2018-04-02T22:47:30Z,2.335
2018-04-02T23:02:30Z,2.098
2018-04-02T23:17:30Z,1.841
2018-04-02T23:32:30Z,1.471
2018-04-02T23:47:30Z,1.182
2018-04-03T00:02:30Z,0.765
2018-04-03T00:17:30Z,0.27
2018-04-03T00:32:30Z,0.501
2018-04-03T00:47:30Z,1.149
2018-04-03T01:02:30Z,1.688
2018-04-03T01:17:30Z,2.199
2018-04-03T01:32:30Z,2.519
2018-04-03T01:47:30Z,3.184
2018-04-03T02:02:30Z,3.625
2018-04-03T02:17:30Z,4.192
2018-04-03T02:32:30Z,4.35
2018-04-03T02:47:30Z,4.466
2018-04-03T03:02:30Z,4.327
2018-04-03T03:17:30Z,4.568
2018-04-03T03:32:30Z,4.699
2018-04-03T03:47:30Z,4.636
2018-04-03T04:02:30Z,4.51
2018-04-03T04:17:30Z,4.122
2018-04-03T04:32:30Z,4.095
2018-04-03T04:47:30Z,3.746
2018-04-03T05:02:30Z,3.677
2018-04-03T05:17:30Z,3.27
2018-04-03T05:32:30Z,2.769
2018-04-03T05:47:30Z,2.436
2018-04-03T06:02:30Z,1.976
2018-04-03T06:17:30Z,1.402
2018-04-03T06:32:30Z,0.954
2018-04-03T06:47:30Z,0.256
2018-04-03T07:02:30Z,1.174
2018-04-03T07:17:30Z,2.499
2018-04-03T07:32:30Z,3.026
2018-04-03T07:47:30Z,2.79
2018-04-03T08:02:30Z,3.206
2018-04-03T08:17:30Z,3.286
2018-04-03T08:32:30Z,3.266
2018-04-03T08:47:30Z,3.312
2018-04-03T09:02:30Z,3.456
2018-04-03T09:17:30Z,3.339
2018-04-03T09:32:30Z,3.349
2018-04-03T09:47:30Z,3.215
2018-04-03T10:02:30Z,3.078
2018-04-03T10:17:30Z,2.972
2018-04-03T10:32:30Z,2.742
2018-04-03T10:47:30Z,2.54
2018-04-03T11:02:30Z,2.432
2018-04-03T11:17:30Z,2.198
2018-04-03T11:32:30Z,1.934
2018-04-03T11:47:30Z,1.65
2018-04-03T12:02:30Z,1.308
2018-04-03T12:17:30Z,0.902
2018-04-03T12:32:30Z,0.455
2018-04-03T12:47:30Z,0.249
2018-04-03T13:02:30Z,0.898
2018-04-03T13:17:30Z,1.362
2018-04-03T13:32:30Z,1.792
2018-04-03T13:47:30Z,2.258
2018-04-03T14:02:30Z,2.679
2018-04-03T14:17:30Z,3.387
2018-04-03T14:32:30Z,3.991
2018-04-03T14:47:30Z,4.04
2018-04-03T15:02:30Z,4.261
2018-04-03T15:17:30Z,4.384
2018-04-03T15:32:30Z,4.508
2018-04-03T15:47:30Z,4.603
2018-04-03T16:02:30Z,4.564
2018-04-03T16:17:30Z,4.592
2018-04-03T16:32:30Z,4.224
2018-04-03T16:47:30Z,3.848
2018-04-03T17:02:30Z,3.793
2018-04-03T17:17:30Z,3.611
2018-04-03T17:32:30Z,3.424
2018-04-03T17:47:30Z,3.065
2018-04-03T18:02:30Z,2.665
2018-04-03T18:17:30Z,2.24
2018-04-03T18:32:30Z,1.726
2018-04-03T18:47:30Z,1.251
2018-04-03T19:02:30Z,0.826
2018-04-03T19:17:30Z,0.4
2018-04-03T19:32:30Z,1.794
2018-04-03T19:47:30Z,2.892
2018-04-03T20:02:30Z,3.073
2018-04-03T20:17:30Z,2.558
2018-04-03T20:32:30Z,2.99
2018-04-03T20:47:30Z,3.177
2018-04-03T21:02:30Z,3.322
2018-04-03T21:17:30Z,3.389
2018-04-03T21:32:30Z,3.284
2018-04-03T21:47:30Z,3.312
2018-04-03T22:02:30Z,3.098
2018-04-03T22:17:30Z,3.173
2018-04-03T22:32:30Z,2.99
2018-04-03T22:47:30Z,2.743
2018-04-03T23:02:30Z,2.53
2018-04-03T23:17:30Z,2.352
2018-04-03T23:32:30Z,2.145
2018-04-03T23:47:30Z,1.88
2018-04-04T00:02:30Z,1.611
2018-04-04T00:17:30Z,1.265
2018-04-04T00:32:30Z,0.954
2018-04-04T00:47:30Z,0.535
2018-04-04T01:02:30Z,0.334
2018-04-04T01:17:30Z,0.713
2018-04-04T01:32:30Z,1.253
2018-04-04T01:47:30Z,1.62
2018-04-04T02:02:30Z,2.18
2018-04-04T02:17:30Z,2.462
2018-04-04T02:32:30Z,3.088
2018-04-04T02:47:30Z,3.525
2018-04-04T03:02:30Z,3.969
2018-04-04T03:17:30Z,4.105
2018-04-04T03:32:30Z,4.241
2018-04-04T03:47:30Z,4.342
2018-04-04T04:02:30Z,4.312
2018-04-04T04:17:30Z,4.502
2018-04-04T04:32:30Z,4.321
2018-04-04T04:47:30Z,4.324
2018-04-04T05:02:30Z,4.058
2018-04-04T05:17:30Z,3.835
2018-04-04T05:32:30Z,3.816
2018-04-04T05:47:30Z,3.489
2018-04-04T06:02:30Z,3.252
2018-04-04T06:17:30Z,2.746
2018-04-04T06:32:30Z,2.292
2018-04-04T06:47:30Z,1.691
2018-04-04T07:02:30Z,1.338
2018-04-04T07:17:30Z,0.839
2018-04-04T07:32:30Z,0.339
2018-04-04T07:47:30Z,1.305
2018-04-04T08:02:30Z,2.606
2018-04-04T08:17:30Z,2.784
2018-04-04T08:32:30Z,2.615
2018-04-04T08:47:30Z,3.025
2018-04-04T09:02:30Z,3.207
2018-04-04T09:17:30Z,3.089
2018-04-04T09:32:30Z,3.148
2018-04-04T09:47:30Z,3.356
2018-04-04T10:02:30Z,3.36
2018-04-04T10:17:30Z,3.111
2018-04-04T10:32:30Z,3.119
2018-04-04T10:47:30Z,2.971
2018-04-04T11:02:30Z,2.775
2018-04-04T11:17:30Z,2.652
2018-04-04T11:32:30Z,2.381
2018-04-04T11:47:30Z,2.22
2018-04-04T12:02:30Z,2.042
2018-04-04T12:17:30Z,1.713
2018-04-04T12:32:30Z,1.48
2018-04-04T12:47:30Z,1.125
2018-04-04T13:02:30Z,0.715
2018-04-04T13:17:30Z,0.316
2018-04-04T13:32:30Z,0.424
2018-04-04T13:47:30Z,0.982
2018-04-04T14:02:30Z,1.444
2018-04-04T14:17:30Z,1.765
2018-04-04T14:32:30Z,2.392
2018-04-04T14:47:30Z,2.818
2018-04-04T15:02:30Z,3.263
2018-04-04T15:17:30Z,3.91
2018-04-04T15:32:30Z,4.221
2018-04-04T15:47:30Z,4.087
2018-04-04T16:02:30Z,4.172
2018-04-04T16:17:30Z,4.122
2018-04-04T16:32:30Z,4.36
2018-04-04T16:47:30Z,4.27
2018-04-04T17:02:30Z,4.003
2018-04-04T17:17:30Z,4.33
2018-04-04T17:32:30Z,3.711
2018-04-04T17:47:30Z,3.39
2018-04-04T18:02:30Z,3.333
2018-04-04T18:17:30Z,2.96
2018-04-04T18:32:30Z,2.316
2018-04-04T18:47:30Z,2.676
2018-04-04T19:02:30Z,2.246
2018-04-04T19:17:30Z,1.724
2018-04-04T19:32:30Z,1.277
2018-04-04T19:47:30Z,0.557
2018-04-04T20:02:30Z,0.587
2018-04-04T20:17:30Z,1.618
2018-04-04T20:32:30Z,2.486
2018-04-04T20:47:30Z,2.588
2018-04-04T21:02:30Z,2.565
2018-04-04T21:17:30Z,2.935
2018-04-04T21:32:30Z,3.009
2018-04-04T21:47:30Z,3.104
2018-04-04T22:02:30Z,3.097
2018-04-04T22:17:30Z,3.314
2018-04-04T22:32:30Z,3.141
2018-04-04T22:47:30Z,2.973
2018-04-04T23:02:30Z,2.863
2018-04-04T23:17:30Z,2.636
2018-04-04T23:32:30Z,2.511
2018-04-04T23:47:30Z,2.321
2018-04-05T00:02:30Z,2.068
